Tweet,Fecha,Locacion,Coordenadas
#legostarwarstheskywalkersaga déjenlo en que termina #returnofthejedi y echan al WC las tres que siguen... #gamescom2020,Thu Aug 27 19:12:07 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"@LaraGue6 @yo_leon1 @_Alexis_Navan_ @_Veronikamaf @SergioSarmiento Solito está cayendo en el WC de la historia, cóm… https://t.co/AyUdlpZsUw",Fri Aug 28 17:11:47 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
Si entra a la mañanera donde estuvo Brozo es bien fácil. Afuera del palacio hay un letrero que dice WC paga 5 pesos… https://t.co/38VLW5IiaS,Thu Sep 03 16:59:15 +0000 2020,"Naucalpan de Juárez, México","[[[-99.413769, 19.412031], [-99.413769, 19.535557], [-99.207087, 19.535557], [-99.207087, 19.412031]]]"
CONCACAF WC qualifiers in October and November postponed until March. Shame after all the work done to come up with… https://t.co/aRyxitHkLz,Tue Sep 08 16:34:02 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
@Pajaropolitico Jajajajaja....por el wc https://t.co/JJQvnNSWJj,Fri Sep 11 23:19:04 +0000 2020,"Iztapalapa, Distrito Federal","[[[-99.140238, 19.284692], [-99.140238, 19.400885], [-98.960684, 19.400885], [-98.960684, 19.284692]]]"
"@Zwarte_Magica Ik logeerde ooit in een pension met religieuze joden naast me, zij trokken na zonsondergang op vrijdag de WC niet meer door.",Sat Sep 12 14:54:33 +0000 2020,"Solidaridad, Quintana Roo","[[[-87.777003, 20.356869], [-87.777003, 20.812192], [-86.916961, 20.812192], [-86.916961, 20.356869]]]"
@RaKeLuZ Tú ve al WC y con eso.... https://t.co/juqnzrhJGf,Fri Sep 18 16:45:28 +0000 2020,"Tlajomulco de Zúñiga, Jalisco","[[[-103.616261, 20.358642], [-103.616261, 20.620776], [-103.198901, 20.620776], [-103.198901, 20.358642]]]"
Reparé la fuga que había en el tanque del WC y el rechinido de la puerta de entrada. https://t.co/vfPebwUBbB,Fri Sep 18 17:24:31 +0000 2020,"Culiacán, Sinaloa","[[[-107.806281, 24.028162], [-107.806281, 25.296815], [-106.877832, 25.296815], [-106.877832, 24.028162]]]"
"Creo que llego la época del año donde le piensas para sentarse en la taza del wc , esta bien pinche frío.",Sun Sep 20 02:45:28 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
@SamCarballo2 Que es wc 🤔,Mon Sep 21 18:03:27 +0000 2020,"Nuevo Laredo, Tamaulipas","[[[-99.974343, 27.268162], [-99.974343, 27.679262], [-99.478795, 27.679262], [-99.478795, 27.268162]]]"
@dw_espanol Hemos hecho de nuestro mundo un gran wc dónde cagamos y comemos del mismo lugar,Tue Sep 22 16:06:15 +0000 2020,"Ecatepec de Morelos, México","[[[-99.118665, 19.484399], [-99.118665, 19.652161], [-98.970224, 19.652161], [-98.970224, 19.484399]]]"
"De  lavar el wc de la ofiii, Chely regresaaaaaaa te extrañamos 🥺",Wed Sep 23 16:59:36 +0000 2020,"Naranjos Amatlán, Veracruz de Ignacio de la Llave","[[[-97.794044, 21.255276], [-97.794044, 21.362232], [-97.580961, 21.362232], [-97.580961, 21.255276]]]"
@GemaFimbres Ir al wc aplica tambien.,Wed Sep 23 22:20:46 +0000 2020,"Cuauhtémoc, Chihuahua","[[[-107.272356, 28.337703], [-107.272356, 29.19785], [-106.544661, 29.19785], [-106.544661, 28.337703]]]"
Me tomó tiempo ver que no es un WC sino un bidé.... Qué alivio me dio xDD,Fri Sep 25 08:10:29 +0000 2020,"Tlalnepantla de Baz, México","[[[-99.248181, 19.498594], [-99.248181, 19.589272], [-99.080384, 19.589272], [-99.080384, 19.498594]]]"
Como cuando lo traes bien maduro💩 y estas a 15 metros de llegar al WC 🧻🚽 https://t.co/2JW1P48lkB,Fri Sep 25 18:48:25 +0000 2020,"Culiacán, Sinaloa","[[[-107.806281, 24.028162], [-107.806281, 25.296815], [-106.877832, 25.296815], [-106.877832, 24.028162]]]"
@CartonCalderon @lopezobrador_ Cuando esta en el WC por eso siempre la defeca en la gobernanza,Sat Sep 26 02:54:13 +0000 2020,"Kanasín, Yucatán","[[[-89.59537, 20.848144], [-89.59537, 20.982078], [-89.467618, 20.982078], [-89.467618, 20.848144]]]"
"@itzaBOOHthang @Padres Good chance he’ll be able to pitch for the wc series, he was tossing the ball a bit during today’s pregame",Sun Sep 27 07:35:23 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
